Experiment	Energy	Bin	Flux	Item	Error	ErrorStat	ErrorSyst	phi	Flux_min	Flux_max
AMS02	7.39E+00	"[7.100e+0,7.690e+0]"	5.51E-01	electron	1.60E-02	1.00E-03	1.50E-02	0	5.35E-01	5.67E-01
AMS02	7.99E+00	"[7.690e+0,8.300e+0]"	4.36E-01	electron	1.30E-02	1.00E-03	1.20E-02	0	4.23E-01	4.49E-01
AMS02	8.62E+00	"[8.300e+0,8.950e+0]"	3.50E-01	electron	1.10E-02	1.00E-03	1.00E-02	0	3.39E-01	3.61E-01
AMS02	9.28E+00	"[8.950e+0,9.620e+0]"	2.78E-01	electron	9.00E-03	1.00E-03	8.00E-03	0	2.69E-01	2.87E-01
AMS02	9.96E+00	"[9.620e+0,1.030e+1]"	2.24E-01	electron	7.00E-03	1.00E-03	6.00E-03	0	2.17E-01	2.31E-01
AMS02	1.07E+01	"[1.030e+1,1.100e+1]"	1.79E-01	electron	4.00E-03	0.00E+00	4.00E-03	0	1.75E-01	1.83E-01
AMS02	1.14E+01	"[1.100e+1,1.180e+1]"	1.47E-01	electron	3.00E-03	0.00E+00	3.00E-03	0	1.44E-01	1.50E-01
AMS02	1.22E+01	"[1.180e+1,1.260e+1]"	1.19E-01	electron	3.00E-03	0.00E+00	3.00E-03	0	1.16E-01	1.22E-01
AMS02	1.30E+01	"[1.260e+1,1.340e+1]"	9.73E-02	electron	2.60E-03	3.00E-04	2.30E-03	0	9.47E-02	9.99E-02
AMS02	1.38E+01	"[1.340e+1,1.420e+1]"	7.97E-02	electron	2.20E-03	3.00E-04	1.90E-03	0	7.75E-02	8.19E-02
AMS02	1.47E+01	"[1.420e+1,1.510e+1]"	6.56E-02	electron	1.70E-03	2.00E-04	1.50E-03	0	6.39E-02	6.73E-02
AMS02	1.56E+01	"[1.510e+1,1.610e+1]"	5.39E-02	electron	1.50E-03	2.00E-04	1.30E-03	0	5.24E-02	5.54E-02
AMS02	1.65E+01	"[1.610e+1,1.700e+1]"	4.48E-02	electron	1.30E-03	2.00E-04	1.10E-03	0	4.35E-02	4.61E-02
AMS02	1.75E+01	"[1.700e+1,1.800e+1]"	3.71E-02	electron	1.10E-03	2.00E-04	9.00E-04	0	3.60E-02	3.82E-02
AMS02	1.85E+01	"[1.800e+1,1.900e+1]"	3.10E-02	electron	8.00E-04	1.00E-04	7.00E-04	0	3.02E-02	3.18E-02
AMS02	1.95E+01	"[1.900e+1,2.000e+1]"	2.59E-02	electron	7.00E-04	1.00E-04	6.00E-04	0	2.52E-02	2.66E-02
AMS02	2.06E+01	"[2.000e+1,2.110e+1]"	2.17E-02	electron	6.00E-04	1.00E-04	5.00E-04	0	2.11E-02	2.23E-02
AMS02	2.17E+01	"[2.110e+1,2.220e+1]"	1.82E-02	electron	5.00E-04	1.00E-04	4.00E-04	0	1.77E-02	1.87E-02
AMS02	2.28E+01	"[2.220e+1,2.340e+1]"	1.56E-02	electron	5.00E-04	1.00E-04	4.00E-04	0	1.51E-02	1.61E-02
AMS02	2.40E+01	"[2.340e+1,2.460e+1]"	1.31E-02	electron	4.00E-04	1.00E-04	3.00E-04	0	1.27E-02	1.35E-02
AMS02	2.52E+01	"[2.460e+1,2.590e+1]"	1.11E-02	electron	4.00E-04	1.00E-04	3.00E-04	0	1.07E-02	1.15E-02
AMS02	2.66E+01	"[2.590e+1,2.720e+1]"	9.42E-03	electron	2.90E-04	6.00E-05	2.30E-04	0	9.13E-03	9.71E-03
AMS02	2.80E+01	"[2.720e+1,2.870e+1]"	7.94E-03	electron	2.50E-04	5.00E-05	2.00E-04	0	7.69E-03	8.19E-03
AMS02	2.94E+01	"[2.870e+1,3.020e+1]"	6.74E-03	electron	2.20E-04	5.00E-05	1.70E-04	0	6.52E-03	6.96E-03
AMS02	3.10E+01	"[3.020e+1,3.180e+1]"	5.62E-03	electron	1.80E-04	4.00E-05	1.40E-04	0	5.44E-03	5.80E-03
AMS02	3.27E+01	"[3.180e+1,3.350e+1]"	4.73E-03	electron	1.60E-04	4.00E-05	1.20E-04	0	4.57E-03	4.89E-03
AMS02	3.44E+01	"[3.350e+1,3.540e+1]"	3.92E-03	electron	1.30E-04	3.00E-05	1.00E-04	0	3.79E-03	4.05E-03
